cve_id,description
CVE-2022-46882,A use-after-free in WebGL extensions could have led to a potentially exploitable crash. This vulnerability affects Firefox < 107 Firefox ESR < 102.6 and Thunderbird < 102.6.
CVE-2022-46881,An optimization in WebGL was incorrect in some cases and could have led to memory corruption and a potentially exploitable crash. This vulnerability affects Firefox < 106 Firefox ESR < 102.6 and Thunderbird < 102.6.
CVE-2022-46880,A missing check related to tex units could have led to a use-after-free and potentially exploitable crash.<br />*Note*: This advisory was added on December 13th 2022 after we better understood the impact of the issue. The fix was included in the original release of Firefox 105. This vulnerability affects Firefox ESR < 102.6 Firefox < 105 and Thunderbird < 102.6.
CVE-2022-46879,Mozilla developers and community members Lukas Bernhard Gabriele Svelto Randell Jesup and the Mozilla Fuzzing Team reported memory safety bugs present in Firefox 107. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code. This vulnerability affects Firefox < 108.
CVE-2022-46878,Mozilla developers Randell Jesup Valentin Gosu Olli Pettay and the Mozilla Fuzzing Team reported memory safety bugs present in Thunderbird 102.5. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code. This vulnerability affects Firefox < 108 Firefox ESR < 102.6 and Thunderbird < 102.6.
CVE-2022-46877,By confusing the browser the fullscreen notification could have been delayed or suppressed resulting in potential user confusion or spoofing attacks. This vulnerability affects Firefox < 108.
CVE-2022-46875,The executable file warning was not presented when downloading .atloc and .ftploc files which can run commands on a user's computer. <br>*Note: This issue only affected Mac OS operating systems. Other operating systems are unaffected.*. This vulnerability affects Firefox < 108 Firefox ESR < 102.6 and Thunderbird < 102.6.
CVE-2022-46874,A file with a long filename could have had its filename truncated to remove the valid extension leaving a malicious extension in its place. This could potentially led to user confusion and the execution of malicious code.<br/>*Note*: This issue was originally included in the advisories for Thunderbird 102.6 but a patch (specific to Thunderbird) was omitted resulting in it actually being fixed in Thunderbird 102.6.1. This vulnerability affects Firefox < 108 Thunderbird < 102.6.1 Thunderbird < 102.6 and Firefox ESR < 102.6.
CVE-2022-46873,Because Firefox did not implement the <code>unsafe-hashes</code> CSP directive an attacker who was able to inject markup into a page otherwise protected by a Content Security Policy may have been able to inject executable script. This would be severely constrained by the specified Content Security Policy of the document. This vulnerability affects Firefox < 108.
CVE-2022-46872,An attacker who compromised a content process could have partially escaped the sandbox to read arbitrary files via clipboard-related IPC messages.<br>*This bug only affects Thunderbird for Linux. Other operating systems are unaffected.*. This vulnerability affects Firefox < 108 Firefox ESR < 102.6 and Thunderbird < 102.6.
CVE-2022-46871,An out of date library (libusrsctp) contained vulnerabilities that could potentially be exploited. This vulnerability affects Firefox < 108.
CVE-2022-45421,Mozilla developers Andrew McCreight and Gabriele Svelto reported memory safety bugs present in Thunderbird 102.4. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code. This vulnerability affects Firefox ESR < 102.5 Thunderbird < 102.5 and Firefox < 107.
CVE-2022-45420,Use tables inside of an iframe an attacker could have caused iframe contents to be rendered outside the boundaries of the iframe resulting in potential user confusion or spoofing attacks. This vulnerability affects Firefox ESR < 102.5 Thunderbird < 102.5 and Firefox < 107.
CVE-2022-45419,If the user added a security exception for an invalid TLS certificate opened an ongoing TLS connection with a server that used that certificate and then deleted the exception Firefox would have kept the connection alive making it seem like the certificate was still trusted. This vulnerability affects Firefox < 107.
