cve_id,cwe_id,epss_score,epss_percentile,cvss_base_score,cvss_base_severity,cvss_vector,attack_vector,attack_complexity,privileges_required,user_interaction,scope,confidentiality,integrity,availability,cvss_exploitability_score,cvss_impact_score,cvss_score_source,cvss_first_seen,publish_date,update_date,source,vuln_category
CVE-2026-24869,416,0.05%,~ 15 %,8.8,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,Network,Low,None,Required,Unchanged,High,High,High,,,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2026-01-27 15:58:48.799,2026-02-26 21:48:47.132,mozilla,Use After Free
CVE-2026-24868,693,0.05%,~ 14 %,6.5,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:H/A:N,Network,Low,None,Required,Unchanged,None,High,None,,,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2026-01-27 15:58:48.472,2026-02-06 20:20:29.530,mozilla,
CVE-2026-2807,787,0.04%,~ 13 %,9.8,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,Network,Low,None,None,Unchanged,High,High,High,,,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2026-02-24 13:33:34.035,2026-02-26 14:44:08.263,mozilla,Memory Corruption
CVE-2026-2806,457,0.04%,~ 13 %,9.1,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:H,Network,Low,None,None,Unchanged,High,None,High,,,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2026-02-24 13:33:33.407,2026-02-25 21:29:33.327,mozilla,Memory Corruption
CVE-2026-2805,824,0.04%,~ 13 %,9.8,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,Network,Low,None,None,Unchanged,High,High,High,,,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2026-02-24 13:33:32.768,2026-02-25 21:30:08.787,mozilla,Memory Corruption
CVE-2026-2804,416,0.03%,~ 8 %,5.4,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:L/I:L/A:N,Network,Low,None,Required,Unchanged,Low,Low,None,,,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2026-02-24 13:33:32.144,2026-02-24 17:30:44.942,mozilla,Memory Corruption
CVE-2026-2803,200,0.04%,~ 12 %,7.5,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,Network,Low,None,None,Unchanged,High,None,None,,,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2026-02-24 13:33:31.491,2026-02-26 20:01:27.866,mozilla,Memory Corruption
CVE-2026-2802,362,0.03%,~ 7 %,4.2,MEDIUM,CVSS:3.1/AV:N/AC:H/PR:N/UI:R/S:U/C:L/I:L/A:N,Network,High,None,Required,Unchanged,Low,Low,None,,,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2026-02-24 13:33:30.784,2026-02-24 17:30:44.158,mozilla,Memory Corruption
CVE-2026-2801,754,0.04%,~ 12 %,7.5,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,Network,Low,None,None,Unchanged,None,None,High,,,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2026-02-24 13:33:29.929,2026-02-26 20:50:24.195,mozilla,Memory Corruption
CVE-2026-2800,290,0.04%,~ 12 %,9.8,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,Network,Low,None,None,Unchanged,High,High,High,,,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2026-02-24 13:33:29.312,2026-02-26 20:34:47.938,mozilla,Memory Corruption
CVE-2026-2799,416,0.04%,~ 12 %,8.8,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,Network,Low,None,Required,Unchanged,High,High,High,,,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2026-02-24 13:33:28.665,2026-02-26 20:52:49.623,mozilla,Memory Corruption
CVE-2026-2798,416,0.04%,~ 12 %,8.8,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,Network,Low,None,Required,Unchanged,High,High,High,,,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2026-02-24 13:33:28.034,2026-02-24 18:25:31.688,mozilla,Memory Corruption
CVE-2026-2797,416,0.04%,~ 12 %,8.8,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,Network,Low,None,Required,Unchanged,High,High,High,,,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2026-02-24 13:33:27.406,2026-02-26 20:52:49.775,mozilla,Memory Corruption
CVE-2026-2796,843,0.04%,~ 13 %,9.8,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,Network,Low,None,None,Unchanged,High,High,High,,,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2026-02-24 13:33:26.775,2026-02-27 20:52:22.502,mozilla,Memory Corruption
CVE-2026-2795,416,0.04%,~ 12 %,8.8,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,Network,Low,None,Required,Unchanged,High,High,High,,,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2026-02-24 13:33:26.111,2026-02-26 20:52:49.920,mozilla,Memory Corruption
CVE-2026-2794,908,0.03%,~ 9 %,6.5,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:N/A:N,Network,Low,None,Required,Unchanged,High,None,None,,,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2026-02-24 13:33:25.399,2026-02-26 20:18:07.820,mozilla,Memory Corruption
CVE-2026-2793,787,0.05%,~ 15 %,9.8,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,Network,Low,None,None,Unchanged,High,High,High,,,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2026-02-24 13:33:23.571,2026-02-26 14:44:08.469,mozilla,Memory Corruption
CVE-2026-2792,787,0.05%,~ 15 %,9.8,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,Network,Low,None,None,Unchanged,High,High,High,,,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2026-02-24 13:33:22.842,2026-02-26 14:44:08.644,mozilla,Memory Corruption
CVE-2026-2791,288,0.04%,~ 13 %,9.8,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,Network,Low,None,None,Unchanged,High,High,High,,,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2026-02-24 13:33:22.237,2026-02-28 03:10:50.975,mozilla,Memory Corruption
CVE-2026-2790,346,0.02%,~ 5 %,8.8,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,Network,Low,None,Required,Unchanged,High,High,High,,,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2026-02-24 13:33:21.600,2026-02-26 20:20:36.866,mozilla,Memory Corruption
CVE-2026-2789,416,0.04%,~ 13 %,8.8,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,Network,Low,None,Required,Unchanged,High,High,High,,,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2026-02-24 13:33:20.961,2026-02-26 20:52:50.078,mozilla,Memory Corruption
CVE-2026-2788,119,0.05%,~ 14 %,9.8,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,Network,Low,None,None,Unchanged,High,High,High,,,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2026-02-24 13:33:20.287,2026-02-28 03:12:31.648,mozilla,Memory Corruption
CVE-2026-2787,416,0.04%,~ 13 %,8.8,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,Network,Low,None,Required,Unchanged,High,High,High,,,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2026-02-24 13:33:19.579,2026-02-26 20:02:41.330,mozilla,Memory Corruption
CVE-2026-2786,416,0.04%,~ 12 %,8.8,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,Network,Low,None,Required,Unchanged,High,High,High,3.9,5.9,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2026-02-24 13:33:18.980,2026-02-26 20:04:22.957,mozilla,Memory Corruption
CVE-2026-2785,824,0.04%,~ 12 %,8.8,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,Network,Low,None,Required,Unchanged,High,High,High,,,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2026-02-24 13:33:18.254,2026-02-26 20:06:49.232,mozilla,Memory Corruption
CVE-2026-2784,288,0.04%,~ 13 %,9.8,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,Network,Low,None,None,Unchanged,High,High,High,,,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2026-02-24 13:33:17.554,2026-02-28 03:14:35.231,mozilla,Memory Corruption
CVE-2026-2783,200,0.03%,~ 10 %,6.5,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:N/A:N,Network,Low,None,Required,Unchanged,High,None,None,,,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2026-02-24 13:33:16.921,2026-02-26 20:10:05.132,mozilla,Memory Corruption
