cve_id,cwe_id,number_exploits,vulnerability_types,publish_date,update_date,score,gained_access_level,access,complexity,authentication,confidentiality,integrity,availability
CVE-2019-11753,354,,,2019-09-27,2019-10-05,4.6,None,Local,Low,Not required,Partial,Partial,Partial
CVE-2019-11753,354,,,2019-09-27,2019-10-05,4.6,None,Local,Low,Not required,Partial,Partial,Partial
CVE-2019-11753,354,,,2019-09-27,2019-10-05,4.6,None,Local,Low,Not required,Partial,Partial,Partial
CVE-2019-11753,354,,,2019-09-27,2019-10-05,4.6,None,Local,Low,Not required,Partial,Partial,Partial
CVE-2019-11753,354,,,2019-09-27,2019-10-05,4.6,None,Local,Low,Not required,Partial,Partial,Partial
CVE-2019-11753,354,,,2019-09-27,2019-10-05,4.6,None,Local,Low,Not required,Partial,Partial,Partial
CVE-2019-11753,354,,,2019-09-27,2019-10-05,4.6,None,Local,Low,Not required,Partial,Partial,Partial
CVE-2019-11753,354,,,2019-09-27,2019-10-05,4.6,None,Local,Low,Not required,Partial,Partial,Partial
CVE-2019-11753,354,,,2019-09-27,2019-10-05,4.6,None,Local,Low,Not required,Partial,Partial,Partial
CVE-2019-11753,354,,,2019-09-27,2019-10-05,4.6,None,Local,Low,Not required,Partial,Partial,Partial
CVE-2019-11753,354,,,2019-09-27,2019-10-05,4.6,None,Local,Low,Not required,Partial,Partial,Partial
CVE-2019-11753,354,,,2019-09-27,2019-10-05,4.6,None,Local,Low,Not required,Partial,Partial,Partial
CVE-2019-11753,354,,,2019-09-27,2019-10-05,4.6,None,Local,Low,Not required,Partial,Partial,Partial
CVE-2019-11753,354,,,2019-09-27,2019-10-05,4.6,None,Local,Low,Not required,Partial,Partial,Partial
CVE-2019-11753,354,,,2019-09-27,2019-10-05,4.6,None,Local,Low,Not required,Partial,Partial,Partial
CVE-2019-11752,416,,,2019-09-27,2019-10-04,9.3,None,Remote,Medium,Not required,Complete,Complete,Complete
CVE-2019-11752,416,,,2019-09-27,2019-10-04,9.3,None,Remote,Medium,Not required,Complete,Complete,Complete
CVE-2019-11752,416,,,2019-09-27,2019-10-04,9.3,None,Remote,Medium,Not required,Complete,Complete,Complete
CVE-2019-11752,416,,,2019-09-27,2019-10-04,9.3,None,Remote,Medium,Not required,Complete,Complete,Complete
CVE-2019-11752,416,,,2019-09-27,2019-10-04,9.3,None,Remote,Medium,Not required,Complete,Complete,Complete
CVE-2019-11752,416,,,2019-09-27,2019-10-04,9.3,None,Remote,Medium,Not required,Complete,Complete,Complete
CVE-2019-11752,416,,,2019-09-27,2019-10-04,9.3,None,Remote,Medium,Not required,Complete,Complete,Complete
CVE-2019-11752,416,,,2019-09-27,2019-10-04,9.3,None,Remote,Medium,Not required,Complete,Complete,Complete
CVE-2019-11752,416,,,2019-09-27,2019-10-04,9.3,None,Remote,Medium,Not required,Complete,Complete,Complete
CVE-2019-11752,416,,,2019-09-27,2019-10-04,9.3,None,Remote,Medium,Not required,Complete,Complete,Complete
CVE-2019-11752,416,,,2019-09-27,2019-10-04,9.3,None,Remote,Medium,Not required,Complete,Complete,Complete
CVE-2019-11752,416,,,2019-09-27,2019-10-04,9.3,None,Remote,Medium,Not required,Complete,Complete,Complete
CVE-2019-11752,416,,,2019-09-27,2019-10-04,9.3,None,Remote,Medium,Not required,Complete,Complete,Complete
CVE-2019-11752,416,,,2019-09-27,2019-10-04,9.3,None,Remote,Medium,Not required,Complete,Complete,Complete
CVE-2019-11752,416,,,2019-09-27,2019-10-04,9.3,None,Remote,Medium,Not required,Complete,Complete,Complete
CVE-2019-11751,20,,,2019-09-27,2019-10-05,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial
CVE-2019-11751,20,,,2019-09-27,2019-10-05,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial
CVE-2019-11751,20,,,2019-09-27,2019-10-05,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial
CVE-2019-11751,20,,,2019-09-27,2019-10-05,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial
CVE-2019-11751,20,,,2019-09-27,2019-10-05,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial
CVE-2019-11751,20,,,2019-09-27,2019-10-05,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial
CVE-2019-11751,20,,,2019-09-27,2019-10-05,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial
CVE-2019-11751,20,,,2019-09-27,2019-10-05,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial
CVE-2019-11751,20,,,2019-09-27,2019-10-05,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial
CVE-2019-11751,20,,,2019-09-27,2019-10-05,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial
CVE-2019-11751,20,,,2019-09-27,2019-10-05,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial
