cve_id,cwe_id,epss_score,epss_percentile,cvss_base_score,cvss_base_severity,cvss_vector,attack_vector,attack_complexity,privileges_required,user_interaction,scope,confidentiality,integrity,availability,cvss_exploitability_score,cvss_impact_score,cvss_score_source,cvss_first_seen,publish_date,update_date,source,vuln_category
CVE-2026-2634,451,0.06%,~ 18 %,9.8,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,Network,Low,None,None,Unchanged,High,High,High,,,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2026-02-24 13:33:24.725,2026-02-27 20:55:35.483,mozilla,Spoofing
CVE-2026-2032,451,0.03%,~ 8 %,4.3,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:L/I:N/A:N,Network,Low,None,Required,Unchanged,Low,None,None,,,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2026-02-16 14:13:23.899,2026-02-17 18:23:17.757,mozilla,Spoofing
CVE-2025-55031,601,0.09%,~ 26 %,9.8,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,Network,Low,None,None,Unchanged,High,High,High,,,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2025-08-19 20:52:49.748,2025-10-30 16:11:09.283,mozilla,
CVE-2025-55030,640,0.03%,~ 8 %,6.1,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,Network,Low,None,Required,Changed,Low,Low,None,,,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2025-08-19 20:52:48.953,2025-10-30 16:14:20.737,mozilla,Cross Site Scripting
CVE-2025-55029,400,0.11%,~ 30 %,7.5,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,Network,Low,None,None,Unchanged,None,None,High,,,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2025-08-19 20:52:50.120,2025-10-30 16:14:27.492,mozilla,Denial of Service
CVE-2025-55028,400,0.07%,~ 22 %,6.5,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H,Network,Low,None,Required,Unchanged,None,None,High,,,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2025-08-19 20:52:49.372,2025-10-30 16:14:23.862,mozilla,Denial of Service
CVE-2025-54145,601,0.05%,~ 15 %,9.1,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:N,Network,Low,None,None,Unchanged,High,High,None,,,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2025-08-19 20:52:48.366,2025-08-20 15:17:33.903,mozilla,Scanning a malicious URL utilizing Firefox's open-text scheme with the QR code scanner could load arbitrary websites
CVE-2025-54144,601,0.03%,~ 8 %,5.4,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:L/I:L/A:N,Network,Low,None,Required,Unchanged,Low,Low,None,,,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2025-08-19 20:52:47.918,2025-08-20 15:17:40.281,mozilla,Internal Firefox open-text URL scheme allowed loading of arbitrary URLs
CVE-2025-54143,693,0.07%,~ 22 %,9.8,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,Network,Low,None,None,Unchanged,High,High,High,,,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2025-08-19 20:52:47.450,2025-08-20 15:17:47.691,mozilla,Sandboxed iframes could allow local downloads despite sandbox restrictions
CVE-2025-27426,601,0.03%,~ 9 %,5.4,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:L/I:L/A:N,Network,Low,None,Required,Unchanged,Low,Low,None,,,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2025-03-04 13:31:27.827,2025-03-04 15:32:13.097,mozilla,Firefox Mobile iOS Full Address Bar Spoof Using Server-Side Redirect to internal error page
CVE-2025-27425,287,0.09%,~ 26 %,4.3,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:L/A:N,Network,Low,None,Required,Unchanged,None,Low,None,,,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2025-03-04 13:31:28.658,2025-03-04 15:26:15.286,mozilla,QR code user confirmation bypass with invalid protocol
CVE-2025-27424,601,0.03%,~ 10 %,4.3,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:L/A:N,Network,Low,None,Required,Unchanged,None,Low,None,,,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2025-03-04 13:31:28.256,2025-03-04 15:30:08.306,mozilla,Firefox Mobile iOS Address Bar Spoof Using Server-Side Redirect to non-http Scheme
CVE-2025-23109,346,0.65%,~ 71 %,6.5,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:H/A:N,Network,Low,None,Required,Unchanged,None,High,None,,,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2025-01-11 03:36:55.235,2025-01-13 17:43:04.023,mozilla,Address bar spoofing on iOS using long hostnames
CVE-2025-23108,79,0.77%,~ 73 %,4.3,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:L/A:N,Network,Low,None,Required,Unchanged,None,Low,None,,,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2025-01-11 03:36:53.989,2025-01-13 17:46:18.921,mozilla,Firefox Mobile iOS Full Address Bar Spoof Using Open in New Tab and Javascript URI
CVE-2025-14744,451,0.04%,~ 10 %,6.5,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:H/A:N,Network,Low,None,Required,Unchanged,None,High,None,,,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2025-12-18 14:21:12.328,2025-12-18 19:19:42.637,mozilla,Spoofing
CVE-2025-10859,359,0.02%,~ 3 %,4,MEDIUM,CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,Local,Low,None,None,Unchanged,Low,None,None,,,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2025-09-30 12:49:07.059,2025-10-30 16:14:17.410,mozilla,
CVE-2025-5020,939,0.05%,~ 15 %,4.3,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:L/A:N,Network,Low,None,Required,Unchanged,None,Low,None,,,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2025-05-21 17:18:08.510,2025-05-21 19:00:28.104,mozilla,Links using non-HTTP schemes opened from other apps such as Safari could have allowed spoofing of website addresses
CVE-2024-53976,1021,0.18%,~ 39 %,5.4,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:L/I:L/A:N,Network,Low,None,Required,Unchanged,Low,Low,None,,,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2024-11-26 13:34:07.977,2024-11-26 15:28:52.539,mozilla,Missing address from location URL bar
CVE-2024-53975,,0.07%,~ 22 %,5.4,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:L/A:L,Network,Low,None,Required,Unchanged,None,Low,Low,2.8,2.5,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2024-11-26 13:34:07.725,2025-10-28 14:34:17.428,mozilla,SSL security padlock icon could be visually spoofed to look secure on an HTTP page
CVE-2024-43113,79,1.03%,~ 77 %,6.1,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,Network,Low,None,Required,Changed,Low,Low,None,,,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2024-08-06 15:55:13.829,2025-03-24 16:25:58.379,mozilla,The Context Menu for iOS Firefox can over ride on any origin allowing UXSS everywhere with bug id 1874910
CVE-2024-43112,79,1.35%,~ 80 %,6.1,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,Network,Low,None,Required,Changed,Low,Low,None,,,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2024-08-06 15:55:13.378,2025-03-17 20:03:56.155,mozilla,iOS Firefox Download UXSS
CVE-2024-43111,79,0.88%,~ 75 %,9.8,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,Network,Low,None,None,Unchanged,High,High,High,,,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2024-08-06 15:55:14.910,2024-08-07 14:35:04.587,mozilla,iOS Firefox allows to run javascript with download
CVE-2024-38313,451,0.39%,~ 60 %,4.3,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:L/A:N,Network,Low,None,Required,Unchanged,None,Low,None,,,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2024-06-13 20:01:13.281,2025-03-14 15:50:21.911,mozilla,Location URL bar could be visually spoofed with a fake toolbar
CVE-2024-38312,922,0.38%,~ 59 %,6.5,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:H/A:N,Network,Low,None,Required,Unchanged,None,High,None,,,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2024-06-13 20:01:13.543,2025-03-19 14:17:43.824,mozilla,Private tabs could result in residual data related to browsing history in app bundle
CVE-2024-31393,,0.14%,~ 33 %,4.3,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:L/A:N,Network,Low,Low,None,Unchanged,None,Low,None,2.8,1.4,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2024-04-03 15:19:14.045,2024-11-22 20:56:34.296,mozilla,Javascript URLs would load when dragged to address bar
CVE-2024-31392,,0.47%,~ 64 %,7.5,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,Network,Low,None,None,Unchanged,None,High,None,3.9,3.6,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2024-04-03 15:19:14.608,2024-10-30 16:15:31.793,mozilla,Firefox on iOS would show pages with mixed content secure
CVE-2024-26283,83,0.13%,~ 32 %,7.8,HIGH,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,Local,Low,None,Required,Unchanged,High,High,High,,,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2024-02-22 14:56:43.860,2024-08-29 13:55:40.992,mozilla,Address bar spoofing using Firefox custom open URL scheme
CVE-2024-26282,80,0.40%,~ 61 %,7.1,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:L/I:H/A:N,Network,Low,None,Required,Unchanged,Low,High,None,,,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2024-02-22 14:56:44.758,2025-03-13 16:15:11.466,mozilla,UXSS through a canonical element
CVE-2024-26281,79,0.27%,~ 50 %,4.7,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:N/I:L/A:N,Network,Low,None,Required,Changed,None,Low,None,,,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2024-02-22 14:56:45.803,2024-11-20 16:31:49.439,mozilla,QR code scanner allowed executing a JavaScript URI
CVE-2024-10004,1021,0.32%,~ 55 %,9.1,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:N,Network,Low,None,None,Unchanged,High,High,None,,,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2024-10-15 21:29:01.383,2024-10-16 19:18:25.692,mozilla,Opening external link to HTTP website could show an HTTPS padlock icon incorrectly
CVE-2024-0953,601,0.18%,~ 39 %,6.1,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,Network,Low,None,Required,Changed,Low,Low,None,,,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2024-02-05 16:48:33.899,2024-10-27 22:12:29.342,mozilla,QR Code Scanner does not prompt before navigating user
CVE-2023-49061,601,0.20%,~ 42 %,6.1,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,Network,Low,None,Required,Changed,Low,Low,None,2.8,2.7,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2023-11-21 14:28:55.728,2024-08-02 21:46:29.100,mozilla,HTML injection in %READER-BYLINE% of ReaderMode
CVE-2023-49060,,0.46%,~ 64 %,9.8,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,Network,Low,None,None,Unchanged,High,High,High,3.9,5.9,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2023-11-21 14:28:55.428,2024-08-02 21:46:28.962,mozilla,Privilege escalation through  in ReaderMode
CVE-2023-37456,476,0.59%,~ 69 %,6.5,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H,Network,Low,None,Required,Unchanged,None,None,High,2.8,3.6,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2023-07-12 13:46:28.648,2024-11-07 16:46:15.963,mozilla,Browser crashed when session restore was called with an empty body
CVE-2023-37455,1021,0.19%,~ 41 %,5.4,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:L/I:L/A:N,Network,Low,None,Required,Unchanged,Low,Low,None,2.8,2.5,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2023-07-12 13:46:07.164,2024-11-07 15:04:41.964,mozilla,Media permission request prompt showing from background tab
CVE-2023-5758,79,0.30%,~ 53 %,6.1,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,Network,Low,None,Required,Changed,Low,Low,None,,,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2023-10-24 20:11:15.306,2025-06-12 15:00:36.041,mozilla,Cross-Site Scripting (XSS) in reader mode
CVE-2022-31746,200,0.22%,~ 44 %,6.5,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:H/A:N,Network,Low,None,Required,Unchanged,None,High,None,,,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2022-12-22 00:00:00.000,2025-04-15 18:24:39.294,mozilla,Privileged internal URL protection could be bypassed through referrer header.
CVE-2022-1887,89,0.59%,~ 69 %,9.8,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,Network,Low,None,None,Unchanged,High,High,High,,,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2022-12-22 00:00:00.000,2025-04-16 15:14:33.764,mozilla,SQL injection in history tab
CVE-2021-29958,862,0.19%,~ 40 %,4.3,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:L/I:N/A:N,Network,Low,None,Required,Unchanged,Low,None,None,2.8,1.4,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2021-06-24 13:16:48.000,2024-08-03 22:18:03.205,mozilla,File download shares private browsing mode cookies
CVE-2020-15662,,0.19%,~ 40 %,6.5,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:H/A:N,Network,Low,None,Required,Unchanged,None,High,None,2.8,3.6,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2020-08-10 17:43:23.000,2024-08-04 13:22:30.615,mozilla,Download JS user script can be overidden
CVE-2020-15661,522,0.21%,~ 44 %,6.5,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:N/A:N,Network,Low,None,Required,Unchanged,High,None,None,2.8,3.6,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2020-08-10 17:43:23.000,2024-08-04 13:22:30.630,mozilla,Login JS user script can be overidden
CVE-2020-15651,,0.19%,~ 40 %,4.3,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:L/A:N,Network,Low,None,Required,Unchanged,None,Low,None,2.8,1.4,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2020-08-10 17:43:24.000,2024-08-04 13:22:30.401,mozilla,Download Feature: unicode RTLO char can fake the file extension
CVE-2020-12414,459,0.19%,~ 40 %,6.5,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:H/A:N,Network,Low,None,Required,Unchanged,None,High,None,2.8,3.6,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2020-07-09 14:56:06.000,2024-08-04 11:56:51.933,mozilla,IndexedDB persists in private browsing mode
CVE-2020-12404,79,0.26%,~ 50 %,4.3,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:L/I:N/A:N,Network,Low,None,Required,Unchanged,Low,None,None,2.8,1.4,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2020-07-09 14:44:16.000,2024-08-04 11:56:51.728,mozilla,Native-to-JS bridging security token exploit
CVE-2020-6830,200,0.32%,~ 55 %,7.5,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,Network,Low,None,None,Unchanged,High,None,None,3.9,3.6,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2020-05-26 17:06:52.000,2024-08-04 09:11:05.047,mozilla,Native-to-JS bridging security token exploit
