cve_id,cwe_id,epss_score,epss_percentile,cvss_base_score,cvss_base_severity,cvss_vector,attack_vector,attack_complexity,privileges_required,user_interaction,scope,confidentiality,integrity,availability,cvss_exploitability_score,cvss_impact_score,cvss_score_source,cvss_first_seen,publish_date,update_date,source,vuln_category
CVE-2015-8512,284,0.07%,~ 22 %,4.6,MEDIUM,CVSS:3.0/AV:P/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,Physical,Low,None,None,Unchanged,High,None,None,0.9,3.6,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2016-01-09 02:00:00.000,2024-08-06 08:20:42.483,mozilla,
CVE-2015-8511,362,0.04%,~ 11 %,6.4,MEDIUM,CVSS:3.0/AV:P/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H,Physical,High,None,None,Unchanged,High,High,High,0.5,5.9,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2016-01-09 02:00:00.000,2024-08-06 08:20:42.411,mozilla,
CVE-2015-8510,79,0.30%,~ 53 %,6.1,MEDIUM,CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,Network,Low,None,Required,Changed,Low,Low,None,2.8,2.7,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2016-01-09 02:00:00.000,2024-08-06 08:20:42.430,mozilla,
CVE-2015-7219,189,1.26%,~ 79 %,5.0,MEDIUM,AV:N/AC:L/Au:N/C:N/I:N/A:P,,,,,,,,,10.0,2.9,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2015-12-16 11:00:00.000,2024-08-06 07:43:45.770,mozilla,
CVE-2015-7218,189,1.26%,~ 79 %,5.0,MEDIUM,AV:N/AC:L/Au:N/C:N/I:N/A:P,,,,,,,,,10.0,2.9,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2015-12-16 11:00:00.000,2024-08-06 07:43:45.344,mozilla,
CVE-2015-7214,200,15.48%,~ 95 %,5.0,MEDIUM,AV:N/AC:L/Au:N/C:P/I:N/A:N,,,,,,,,,10.0,2.9,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2015-12-16 11:00:00.000,2024-08-06 07:43:46.148,mozilla,
CVE-2015-7210,,1.77%,~ 82 %,7.5,HIGH,AV:N/AC:L/Au:N/C:P/I:P/A:P,,,,,,,,,10.0,6.4,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2015-12-16 11:00:00.000,2024-08-06 07:43:45.692,mozilla,Use After Free
CVE-2015-7205,189,0.86%,~ 75 %,10.0,HIGH,AV:N/AC:L/Au:N/C:C/I:C/A:C,,,,,,,,,10.0,10.0,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2015-12-16 11:00:00.000,2024-08-06 07:43:45.696,mozilla,
CVE-2015-7202,119,1.91%,~ 83 %,10.0,HIGH,AV:N/AC:L/Au:N/C:C/I:C/A:C,,,,,,,,,10.0,10.0,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2015-12-16 11:00:00.000,2024-08-06 07:43:46.110,mozilla,Memory Corruption
CVE-2015-7201,119,1.57%,~ 81 %,10.0,HIGH,AV:N/AC:L/Au:N/C:C/I:C/A:C,,,,,,,,,10.0,10.0,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2015-12-16 11:00:00.000,2024-08-06 07:43:44.975,mozilla,Memory Corruption
CVE-2015-7193,254,0.51%,~ 66 %,7.5,HIGH,AV:N/AC:L/Au:N/C:P/I:P/A:P,,,,,,,,,10.0,6.4,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2015-11-05 02:00:00.000,2024-08-06 07:43:45.004,mozilla,
CVE-2015-7180,119,3.21%,~ 87 %,7.5,HIGH,AV:N/AC:L/Au:N/C:P/I:P/A:P,,,,,,,,,10.0,6.4,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2015-09-24 01:00:00.000,2024-08-06 07:43:44.879,mozilla,Buffer Overflow
CVE-2015-7177,119,3.21%,~ 87 %,7.5,HIGH,AV:N/AC:L/Au:N/C:P/I:P/A:P,,,,,,,,,10.0,6.4,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2015-09-24 01:00:00.000,2024-08-06 07:43:44.826,mozilla,Buffer Overflow
CVE-2015-7176,119,5.71%,~ 90 %,7.5,HIGH,AV:N/AC:L/Au:N/C:P/I:P/A:P,,,,,,,,,10.0,6.4,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2015-09-24 01:00:00.000,2024-08-06 07:43:44.881,mozilla,Buffer Overflow
CVE-2015-7175,119,3.21%,~ 87 %,7.5,HIGH,AV:N/AC:L/Au:N/C:P/I:P/A:P,,,,,,,,,10.0,6.4,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2015-09-24 01:00:00.000,2024-08-06 07:43:44.923,mozilla,Buffer Overflow
CVE-2015-7174,119,3.21%,~ 87 %,7.5,HIGH,AV:N/AC:L/Au:N/C:P/I:P/A:P,,,,,,,,,10.0,6.4,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2015-09-24 01:00:00.000,2024-08-06 07:43:44.855,mozilla,Buffer Overflow
CVE-2015-4522,119,3.21%,~ 87 %,7.5,HIGH,AV:N/AC:L/Au:N/C:P/I:P/A:P,,,,,,,,,10.0,6.4,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2015-09-24 01:00:00.000,2024-08-06 06:18:11.617,mozilla,Buffer Overflow
CVE-2015-4521,119,3.21%,~ 87 %,7.5,HIGH,AV:N/AC:L/Au:N/C:P/I:P/A:P,,,,,,,,,10.0,6.4,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2015-09-24 01:00:00.000,2024-08-06 06:18:11.773,mozilla,Buffer Overflow
CVE-2015-4520,254,0.59%,~ 69 %,6.4,MEDIUM,AV:N/AC:L/Au:N/C:P/I:P/A:N,,,,,,,,,10.0,4.9,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2015-09-24 01:00:00.000,2024-08-06 06:18:11.566,mozilla,
CVE-2015-4519,200,0.44%,~ 63 %,4.3,MEDIUM,AV:N/AC:M/Au:N/C:P/I:N/A:N,,,,,,,,,8.6,2.9,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2015-09-24 01:00:00.000,2024-08-06 06:18:11.507,mozilla,
CVE-2015-4517,119,3.21%,~ 87 %,7.5,HIGH,AV:N/AC:L/Au:N/C:P/I:P/A:P,,,,,,,,,10.0,6.4,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2015-09-24 01:00:00.000,2024-08-06 06:18:11.458,mozilla,Buffer Overflow
CVE-2015-4514,119,3.91%,~ 88 %,7.5,HIGH,AV:N/AC:L/Au:N/C:P/I:P/A:P,,,,,,,,,10.0,6.4,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2015-11-05 02:00:00.000,2024-08-06 06:18:11.584,mozilla,Memory Corruption
CVE-2015-4513,119,4.25%,~ 89 %,7.5,HIGH,AV:N/AC:L/Au:N/C:P/I:P/A:P,,,,,,,,,10.0,6.4,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2015-11-05 02:00:00.000,2024-08-06 06:18:11.486,mozilla,Memory Corruption
CVE-2015-4509,,4.94%,~ 89 %,7.5,HIGH,AV:N/AC:L/Au:N/C:P/I:P/A:P,,,,,,,,,10.0,6.4,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2015-09-24 01:00:00.000,2024-08-06 06:18:11.404,mozilla,Use After Free
CVE-2015-4507,,1.20%,~ 79 %,5.1,MEDIUM,AV:N/AC:H/Au:N/C:P/I:P/A:P,,,,,,,,,4.9,6.4,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2015-09-24 01:00:00.000,2024-08-06 06:18:11.191,mozilla,
CVE-2015-4502,254,0.78%,~ 73 %,4.3,MEDIUM,AV:N/AC:M/Au:N/C:N/I:P/A:N,,,,,,,,,8.6,2.9,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2015-09-24 01:00:00.000,2024-08-06 06:18:11.484,mozilla,
CVE-2015-4501,119,2.92%,~ 86 %,7.5,HIGH,AV:N/AC:L/Au:N/C:P/I:P/A:P,,,,,,,,,10.0,6.4,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2015-09-24 01:00:00.000,2024-08-06 06:18:11.456,mozilla,Memory Corruption
CVE-2015-4500,119,3.17%,~ 87 %,7.5,HIGH,AV:N/AC:L/Au:N/C:P/I:P/A:P,,,,,,,,,10.0,6.4,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2015-09-24 01:00:00.000,2024-08-06 06:18:11.387,mozilla,Memory Corruption
CVE-2015-4495,346,71.57%,~ 99 %,8.8,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,Network,Low,None,Required,Unchanged,High,High,High,,,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2015-08-08 00:00:00.000,2025-10-21 23:55:58.479,mozilla,
