cve_id,cwe_id,epss_score,epss_percentile,cvss_base_score,cvss_base_severity,cvss_vector,attack_vector,attack_complexity,privileges_required,user_interaction,scope,confidentiality,integrity,availability,cvss_exploitability_score,cvss_impact_score,cvss_score_source,cvss_first_seen,publish_date,update_date,source,vuln_category
CVE-2013-5607,189,1.59%,~ 81 %,7.5,HIGH,AV:N/AC:L/Au:N/C:P/I:P/A:P,,,,,,,,,10.0,6.4,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2013-11-20 11:00:00.000,2024-08-06 17:15:21.405,mozilla,
CVE-2013-5606,264,0.66%,~ 71 %,5.8,MEDIUM,AV:N/AC:M/Au:N/C:P/I:P/A:N,,,,,,,,,8.6,4.9,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2013-11-16 15:00:00.000,2024-08-06 17:15:21.522,mozilla,
CVE-2013-5605,20,2.79%,~ 86 %,7.5,HIGH,AV:N/AC:L/Au:N/C:P/I:P/A:P,,,,,,,,,10.0,6.4,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2013-11-16 15:00:00.000,2024-08-06 17:15:21.377,mozilla,Buffer Overflow
CVE-2013-5604,119,6.86%,~ 91 %,9.3,HIGH,AV:N/AC:M/Au:N/C:C/I:C/A:C,,,,,,,,,8.6,10.0,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2013-10-30 10:00:00.000,2024-08-06 17:15:21.510,mozilla,
CVE-2013-5602,119,3.23%,~ 87 %,10.0,HIGH,AV:N/AC:L/Au:N/C:C/I:C/A:C,,,,,,,,,10.0,10.0,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2013-10-30 10:00:00.000,2024-08-06 17:15:21.408,mozilla,Memory Corruption
CVE-2013-5601,,2.69%,~ 86 %,10.0,HIGH,AV:N/AC:L/Au:N/C:C/I:C/A:C,,,,,,,,,10.0,10.0,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2013-10-30 10:00:00.000,2024-08-06 17:15:21.550,mozilla,Use After Free
CVE-2013-5600,,2.69%,~ 86 %,10.0,HIGH,AV:N/AC:L/Au:N/C:C/I:C/A:C,,,,,,,,,10.0,10.0,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2013-10-30 10:00:00.000,2024-08-06 17:15:21.438,mozilla,Use After Free
CVE-2013-5599,,2.69%,~ 86 %,10.0,HIGH,AV:N/AC:L/Au:N/C:C/I:C/A:C,,,,,,,,,10.0,10.0,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2013-10-30 10:00:00.000,2024-08-06 17:15:21.453,mozilla,Use After Free
CVE-2013-5597,,3.63%,~ 88 %,10.0,HIGH,AV:N/AC:L/Au:N/C:C/I:C/A:C,,,,,,,,,10.0,10.0,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2013-10-30 10:00:00.000,2024-08-06 17:15:21.584,mozilla,Use After Free
CVE-2013-5595,119,2.58%,~ 85 %,4.3,MEDIUM,AV:N/AC:M/Au:N/C:N/I:N/A:P,,,,,,,,,8.6,2.9,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2013-10-30 10:00:00.000,2024-08-06 17:15:21.440,mozilla,Buffer Overflow
CVE-2013-5592,,2.66%,~ 86 %,10.0,HIGH,AV:N/AC:L/Au:N/C:C/I:C/A:C,,,,,,,,,10.0,10.0,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2013-10-30 10:00:00.000,2024-08-06 17:15:21.434,mozilla,Memory Corruption
CVE-2013-5591,,3.45%,~ 87 %,10.0,HIGH,AV:N/AC:L/Au:N/C:C/I:C/A:C,,,,,,,,,10.0,10.0,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2013-10-30 10:00:00.000,2024-08-06 17:15:21.464,mozilla,Memory Corruption
CVE-2013-5590,,2.06%,~ 84 %,10.0,HIGH,AV:N/AC:L/Au:N/C:C/I:C/A:C,,,,,,,,,10.0,10.0,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2013-10-30 10:00:00.000,2024-08-06 17:15:21.675,mozilla,Memory Corruption
CVE-2013-2566,326,90.40%,~ 100 %,5.9,MEDIUM,CVSS:3.0/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:N/A:N,Network,High,None,None,Unchanged,High,None,None,2.2,3.6,8254265b-2729-46b6-b9e3-3dfca2d5bfca,,2013-03-14 22:00:00.000,2024-08-06 15:44:32.649,mitre,
CVE-2013-1741,189,2.60%,~ 85 %,7.5,HIGH,AV:N/AC:L/Au:N/C:P/I:P/A:P,,,,,,,,,10.0,6.4,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2013-11-16 15:00:00.000,2024-08-06 15:13:32.534,mozilla,
CVE-2013-1739,,2.87%,~ 86 %,5.0,MEDIUM,AV:N/AC:L/Au:N/C:N/I:N/A:P,,,,,,,,,10.0,2.9,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2013-10-22 22:00:00.000,2024-08-06 15:13:32.238,mozilla,Memory Corruption
CVE-2013-1737,264,0.42%,~ 61 %,5.0,MEDIUM,AV:N/AC:L/Au:N/C:P/I:N/A:N,,,,,,,,,10.0,2.9,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2013-09-18 10:00:00.000,2024-08-06 15:13:32.377,mozilla,
CVE-2013-1736,119,3.73%,~ 88 %,10.0,HIGH,AV:N/AC:L/Au:N/C:C/I:C/A:C,,,,,,,,,10.0,10.0,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2013-09-18 10:00:00.000,2024-08-06 15:13:32.191,mozilla,Memory Corruption
CVE-2013-1735,20,4.50%,~ 89 %,9.3,HIGH,AV:N/AC:M/Au:N/C:C/I:C/A:C,,,,,,,,,8.6,10.0,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2013-09-18 10:00:00.000,2024-08-06 15:13:32.178,mozilla,Memory Corruption
CVE-2013-1732,119,33.16%,~ 97 %,9.3,HIGH,AV:N/AC:M/Au:N/C:C/I:C/A:C,,,,,,,,,8.6,10.0,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2013-09-18 10:00:00.000,2024-08-06 15:13:32.443,mozilla,Buffer Overflow
CVE-2013-1730,119,0.73%,~ 72 %,6.8,MEDIUM,AV:N/AC:M/Au:N/C:P/I:P/A:P,,,,,,,,,8.6,6.4,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2013-09-18 10:00:00.000,2024-08-06 15:13:32.358,mozilla,
CVE-2013-1726,264,0.11%,~ 29 %,6.2,MEDIUM,AV:L/AC:H/Au:N/C:C/I:C/A:C,,,,,,,,,1.9,10.0,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2013-09-18 10:00:00.000,2024-08-06 15:13:31.665,mozilla,
CVE-2013-1725,119,2.86%,~ 86 %,6.8,MEDIUM,AV:N/AC:M/Au:N/C:P/I:P/A:P,,,,,,,,,8.6,6.4,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2013-09-18 10:00:00.000,2024-08-06 15:13:32.609,mozilla,Memory Corruption
CVE-2013-1722,399,3.86%,~ 88 %,9.3,HIGH,AV:N/AC:M/Au:N/C:C/I:C/A:C,,,,,,,,,8.6,10.0,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2013-09-18 10:00:00.000,2024-08-06 15:13:32.395,mozilla,Use After Free
CVE-2013-1719,119,2.38%,~ 85 %,10.0,HIGH,AV:N/AC:L/Au:N/C:C/I:C/A:C,,,,,,,,,10.0,10.0,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2013-09-18 10:00:00.000,2024-08-06 15:13:32.221,mozilla,Memory Corruption
CVE-2013-1718,119,1.56%,~ 81 %,10.0,HIGH,AV:N/AC:L/Au:N/C:C/I:C/A:C,,,,,,,,,10.0,10.0,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2013-09-18 10:00:00.000,2024-08-06 15:13:32.284,mozilla,Memory Corruption
CVE-2013-1717,264,0.57%,~ 68 %,5.4,MEDIUM,AV:N/AC:H/Au:N/C:C/I:N/A:N,,,,,,,,,4.9,6.9,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2013-08-07 01:00:00.000,2024-08-06 15:13:31.688,mozilla,
CVE-2013-1714,264,1.08%,~ 78 %,4.3,MEDIUM,AV:N/AC:M/Au:N/C:N/I:P/A:N,,,,,,,,,8.6,2.9,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2013-08-07 01:00:00.000,2024-08-06 15:13:32.319,mozilla,Cross Site Scripting
CVE-2013-1713,264,0.47%,~ 64 %,4.3,MEDIUM,AV:N/AC:M/Au:N/C:N/I:P/A:N,,,,,,,,,8.6,2.9,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2013-08-07 01:00:00.000,2024-08-06 15:13:32.704,mozilla,Cross Site Scripting
CVE-2013-1712,,0.17%,~ 38 %,6.9,MEDIUM,AV:L/AC:M/Au:N/C:C/I:C/A:C,,,,,,,,,3.4,10.0,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2013-08-07 01:00:00.000,2024-08-06 15:13:32.523,mozilla,Privilege Escalation
CVE-2013-1710,20,71.91%,~ 99 %,10.0,HIGH,AV:N/AC:L/Au:N/C:C/I:C/A:C,,,,,,,,,10.0,10.0,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2013-08-07 01:00:00.000,2024-08-06 15:13:31.636,mozilla,Cross Site Scripting
CVE-2013-1709,79,0.52%,~ 66 %,4.3,MEDIUM,AV:N/AC:M/Au:N/C:N/I:P/A:N,,,,,,,,,8.6,2.9,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2013-08-07 01:00:00.000,2024-08-06 15:13:31.649,mozilla,Cross Site Scripting
CVE-2013-1707,119,0.05%,~ 15 %,7.2,HIGH,AV:L/AC:L/Au:N/C:C/I:C/A:C,,,,,,,,,3.9,10.0,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2013-08-07 01:00:00.000,2024-08-06 15:13:32.315,mozilla,Buffer Overflow
CVE-2013-1706,119,0.05%,~ 15 %,7.2,HIGH,AV:L/AC:L/Au:N/C:C/I:C/A:C,,,,,,,,,3.9,10.0,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2013-08-07 01:00:00.000,2024-08-06 15:13:31.565,mozilla,Buffer Overflow
CVE-2013-1702,,1.73%,~ 82 %,10.0,HIGH,AV:N/AC:L/Au:N/C:C/I:C/A:C,,,,,,,,,10.0,10.0,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2013-08-07 01:00:00.000,2024-08-06 15:13:32.272,mozilla,Memory Corruption
CVE-2013-1701,,3.55%,~ 87 %,10.0,HIGH,AV:N/AC:L/Au:N/C:C/I:C/A:C,,,,,,,,,10.0,10.0,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2013-08-07 01:00:00.000,2024-08-06 15:13:31.594,mozilla,Memory Corruption
CVE-2013-1697,264,2.64%,~ 85 %,9.3,HIGH,AV:N/AC:M/Au:N/C:C/I:C/A:C,,,,,,,,,8.6,10.0,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2013-06-26 01:00:00.000,2024-08-06 15:13:32.298,mozilla,
CVE-2013-1694,20,2.92%,~ 86 %,7.5,HIGH,AV:N/AC:L/Au:N/C:P/I:P/A:P,,,,,,,,,10.0,6.4,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2013-06-26 01:00:00.000,2024-08-06 15:13:31.704,mozilla,
CVE-2013-1693,264,0.62%,~ 70 %,4.3,MEDIUM,AV:N/AC:M/Au:N/C:P/I:N/A:N,,,,,,,,,8.6,2.9,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2013-06-26 01:00:00.000,2024-08-06 15:13:31.729,mozilla,Information Disclosure
CVE-2013-1692,264,1.01%,~ 77 %,4.3,MEDIUM,AV:N/AC:M/Au:N/C:N/I:P/A:N,,,,,,,,,8.6,2.9,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2013-06-26 01:00:00.000,2024-08-06 15:13:31.648,mozilla,
CVE-2013-1690,119,49.62%,~ 98 %,8.8,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,Network,Low,None,Required,Unchanged,High,High,High,,,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2013-06-26 01:00:00.000,2025-10-22 00:05:41.588,mozilla,
CVE-2013-1687,264,2.64%,~ 85 %,9.3,HIGH,AV:N/AC:M/Au:N/C:C/I:C/A:C,,,,,,,,,8.6,10.0,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2013-06-26 01:00:00.000,2024-08-06 15:13:32.816,mozilla,Cross Site Scripting
CVE-2013-1686,399,2.45%,~ 85 %,10.0,HIGH,AV:N/AC:L/Au:N/C:C/I:C/A:C,,,,,,,,,10.0,10.0,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2013-06-26 01:00:00.000,2024-08-06 15:13:32.674,mozilla,Memory Corruption
CVE-2013-1685,399,0.78%,~ 73 %,9.3,HIGH,AV:N/AC:M/Au:N/C:C/I:C/A:C,,,,,,,,,8.6,10.0,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2013-06-26 01:00:00.000,2024-08-06 15:13:32.393,mozilla,Memory Corruption
CVE-2013-1684,399,0.78%,~ 73 %,9.3,HIGH,AV:N/AC:M/Au:N/C:C/I:C/A:C,,,,,,,,,8.6,10.0,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2013-06-26 01:00:00.000,2024-08-06 15:13:31.970,mozilla,Memory Corruption
CVE-2013-1683,,1.76%,~ 82 %,10.0,HIGH,AV:N/AC:L/Au:N/C:C/I:C/A:C,,,,,,,,,10.0,10.0,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2013-06-26 01:00:00.000,2024-08-06 15:13:32.316,mozilla,Memory Corruption
CVE-2013-1682,,1.76%,~ 82 %,10.0,HIGH,AV:N/AC:L/Au:N/C:C/I:C/A:C,,,,,,,,,10.0,10.0,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2013-06-26 01:00:00.000,2024-08-06 15:13:32.796,mozilla,Memory Corruption
CVE-2013-1681,399,2.80%,~ 86 %,10.0,HIGH,AV:N/AC:L/Au:N/C:C/I:C/A:C,,,,,,,,,10.0,10.0,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2013-05-16 10:00:00.000,2024-08-06 15:13:31.612,mozilla,Memory Corruption
CVE-2013-1680,119,3.18%,~ 87 %,10.0,HIGH,AV:N/AC:L/Au:N/C:C/I:C/A:C,,,,,,,,,10.0,10.0,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2013-05-16 10:00:00.000,2024-08-06 15:13:32.293,mozilla,Memory Corruption
CVE-2013-1679,399,2.17%,~ 84 %,10.0,HIGH,AV:N/AC:L/Au:N/C:C/I:C/A:C,,,,,,,,,10.0,10.0,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2013-05-16 10:00:00.000,2024-08-06 15:13:32.418,mozilla,Memory Corruption
CVE-2013-1678,119,3.73%,~ 88 %,10.0,HIGH,AV:N/AC:L/Au:N/C:C/I:C/A:C,,,,,,,,,10.0,10.0,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2013-05-16 10:00:00.000,2024-08-06 15:13:32.753,mozilla,Memory Corruption
CVE-2013-1677,399,1.40%,~ 80 %,10.0,HIGH,AV:N/AC:L/Au:N/C:C/I:C/A:C,,,,,,,,,10.0,10.0,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2013-05-16 10:00:00.000,2024-08-06 15:13:32.492,mozilla,Memory Corruption
CVE-2013-1676,119,1.59%,~ 81 %,10.0,HIGH,AV:N/AC:L/Au:N/C:C/I:C/A:C,,,,,,,,,10.0,10.0,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2013-05-16 10:00:00.000,2024-08-06 15:13:32.211,mozilla,Memory Corruption
CVE-2013-1675,665,4.74%,~ 89 %,6.5,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:N/A:N,Network,Low,None,Required,Unchanged,High,None,None,,,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2013-05-16 10:00:00.000,2025-10-22 00:05:42.585,mozilla,Information Disclosure
CVE-2013-1674,399,4.03%,~ 88 %,9.3,HIGH,AV:N/AC:M/Au:N/C:C/I:C/A:C,,,,,,,,,8.6,10.0,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2013-05-16 10:00:00.000,2024-08-06 15:13:31.590,mozilla,Use After Free
