cwe_id,entry_type,title,description
17,category,CWE CATEGORY: DEPRECATED: Code,"This entry has been deprecated. It was originally used for organizing the Development View ( CWE-699 ) and some other views, but it introduced unnecessary complexity and depth to the resulting tree."
19,category,CWE CATEGORY: Data Processing Errors,Weaknesses in this category are typically found in functionality that processes data. Data processing is the manipulation of input to retrieve or save information.
20,weakness,CWE-20: Improper Input Validation,"The product receives input or data, but it does not validate or incorrectly validates that the input has the properties that are required to process the data safely and correctly."
22,weakness,CWE-22: Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),"The product uses external input to construct a pathname that is intended to identify a file or directory that is located underneath a restricted parent directory, but the product does not properly neutralize special elements within the pathname that can cause the pathname to resolve to a location that is outside of the restricted directory."
59,weakness,CWE-59: Improper Link Resolution Before File Access ('Link Following'),"The product attempts to access a file based on the filename, but it does not properly prevent that filename from identifying a link or shortcut that resolves to an unintended resource."
73,weakness,CWE-73: External Control of File Name or Path,The product allows user input to control or influence paths or file names that are used in filesystem operations.
74,weakness,CWE-74: Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection'),"The product constructs all or part of a command, data structure, or record using externally-influenced input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could modify how it is parsed or interpreted when it is sent to a downstream component."
77,weakness,CWE-77: Improper Neutralization of Special Elements used in a Command ('Command Injection'),"The product constructs all or part of a command using externally-influenced input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could modify the intended command when it is sent to a downstream component."
78,weakness,CWE-78: Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection'),"The product constructs all or part of an OS command using externally-influenced input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could modify the intended OS command when it is sent to a downstream component."
79,weakness,CWE-79: Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),The product does not neutralize or incorrectly neutralizes user-controllable input before it is placed in output that is used as a web page that is served to other users.
80,weakness,CWE-80: Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),"The product receives input from an upstream component, but it does not neutralize or incorrectly neutralizes special characters such as ""<"", "">"", and ""&"" that could be interpreted as web-scripting elements when they are sent to a downstream component that processes web pages."
86,weakness,CWE-86: Improper Neutralization of Invalid Characters in Identifiers in Web Pages,"The product does not neutralize or incorrectly neutralizes invalid characters or byte sequences in the middle of tag names, URI schemes, and other identifiers."
88,weakness,CWE-88: Improper Neutralization of Argument Delimiters in a Command ('Argument Injection'),"The product constructs a string for a command to be executed by a separate component in another control sphere, but it does not properly delimit the intended arguments, options, or switches within that command string."
91,weakness,CWE-91: XML Injection (aka Blind XPath Injection),"The product does not properly neutralize special elements that are used in XML, allowing attackers to modify the syntax, content, or commands of the XML before it is processed by an end system."
94,weakness,CWE-94: Improper Control of Generation of Code ('Code Injection'),"The product constructs all or part of a code segment using externally-influenced input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could modify the syntax or behavior of the intended code segment."
116,weakness,CWE-116: Improper Encoding or Escaping of Output,"The product prepares a structured message for communication with another component, but encoding or escaping of the data is either missing or done incorrectly. As a result, the intended structure of the message is not preserved."
119,weakness,CWE-119: Improper Restriction of Operations within the Bounds of a Memory Buffer,"The product performs operations on a memory buffer, but it reads from or writes to a memory location outside the buffer's intended boundary. This may result in read or write operations on unexpected memory locations that could be linked to other variables, data structures, or internal program data."
120,weakness,CWE-120: Buffer Copy without Checking Size of Input ('Classic Buffer Overflow'),The product copies an input buffer to an output buffer without verifying that the size of the input buffer is less than the size of the output buffer.
122,weakness,CWE-122: Heap-based Buffer Overflow,"A heap overflow condition is a buffer overflow, where the buffer that can be overwritten is allocated in the heap portion of memory, generally meaning that the buffer was allocated using a routine such as malloc()."
123,weakness,CWE-123: Write-what-where Condition,"Any condition where the attacker has the ability to write an arbitrary value to an arbitrary location, often as the result of a buffer overflow."
125,weakness,CWE-125: Out-of-bounds Read,"The product reads data past the end, or before the beginning, of the intended buffer."
129,weakness,CWE-129: Improper Validation of Array Index,"The product uses untrusted input when calculating or using an array index, but the product does not validate or incorrectly validates the index to ensure the index references a valid position within the array."
158,weakness,CWE-158: Improper Neutralization of Null Byte or NUL Character,"The product receives input from an upstream component, but it does not neutralize or incorrectly neutralizes NUL characters or null bytes when they are sent to a downstream component."
178,weakness,CWE-178: Improper Handling of Case Sensitivity,"The product does not properly account for differences in case sensitivity when accessing or determining the properties of a resource, leading to inconsistent results."
189,category,CWE CATEGORY: Numeric Errors,Weaknesses in this category are related to improper calculation or conversion of numbers.
190,weakness,CWE-190: Integer Overflow or Wraparound,"The product performs a calculation that can produce an integer overflow or wraparound when the logic assumes that the resulting value will always be larger than the original value. This occurs when an integer value is incremented to a value that is too large to store in the associated representation. When this occurs, the value may become a very small or negative number."
199,category,CWE CATEGORY: Information Management Errors,Weaknesses in this category are related to improper handling of sensitive information.
