firefox_version,cve_id,advisory,title,reporter,impact,description,bug_id
88,['CVE-2021-23994'],2021-16,Out of bound write due to lazy initialization,Abraruddin Khan and Omair,high,A WebGL framebuffer was not initialized early enough resulting in memory corruption and an out of bound write.,[1699077]
88,['CVE-2021-23996'],2021-16,Content rendered outside of webpage viewport,Colin D. Munro,high,By utilizing 3D CSS in conjunction with Javascript content could have been rendered outside the webpage's viewport resulting in a spoofing attack that could have been used for phishing or other attacks on a user.,[1701834]
88,['CVE-2021-23997'],2021-16,Use-after-free when freeing fonts from cache,Irvan Kurniawan,high,Due to unexpected data type conversions a use-after-free could have occurred when interacting with the font cache. We presume that with enough effort this could have been exploited to run arbitrary code.,[1701942]
88,['CVE-2021-23998'],2021-16,Secure Lock icon could have been spoofed,Jordi Chancel,moderate,Through complicated navigations with new windows an HTTP page could have inherited a secure lock icon from an HTTPS page.,[1667456]
88,['CVE-2021-23999'],2021-16,Blob URLs may have been granted additional privileges,Nika Layzell,moderate,If a Blob URL was loaded through some unusual user interaction it could have been loaded by the System Principal and granted additional privileges that should not be granted to web content.,[1691153]
88,['CVE-2021-24000'],2021-16,requestPointerLock() could be applied to a tab different from the visible tab,Irvan Kurniawan,moderate,"A race condition with requestPointerLock() and setTimeout() could have resulted in a user interacting with one tab when they believed they were on a separate tab. In conjunction with certain elements (such as <input type=""file"">) this could have led to an attack where a user was confused about the origin of the webpage and potentially disclosed information they did not intend to.",[1694698]
88,['CVE-2021-24001'],2021-16,Testing code could have enabled session history manipulations by a compromised content process,Andrew McCreight,moderate,A compromised content process could have performed session history manipulations it should not have been able to due to testing infrastructure that was not restricted to testing-only configurations.,[1694727]
88,['CVE-2021-24002'],2021-16,Arbitrary FTP command execution on FTP servers using an encoded URL,Daniel Santos,moderate,When a user clicked on an FTP URL containing encoded newline characters (%0A and %0D) the newlines would have been interpreted as such and allowed arbitrary commands to be sent to the FTP server.,[1702374]
88,['CVE-2021-29945'],2021-16,Incorrect size computation in WebAssembly JIT could lead to null-reads,Christian Holler,moderate,The WebAssembly JIT could miscalculate the size of a return type which could lead to a null read and result in a crash. Note: This issue only affected x86-32 platforms. Other platforms are unaffected.,[1700690]
88,['CVE-2021-29944'],2021-16,HTML injection vulnerability in Firefox for Android's Reader View,Wladimir Palant working with Include Security,low,Lack of escaping allowed HTML injection when a webpage was viewed in Reader View. While a Content Security Policy prevents direct code execution HTML injection is still possible.Note: This issue only affected Firefox for Android. Other operating systems are unaffected.,[1697604]
88,['CVE-2021-29946'],2021-16,Port blocking could be bypassed,Frederik Braun,low,Ports that were written as an integer overflow above the bounds of a 16-bit integer could have bypassed port blocking restrictions when used in the Alt-Svc header.,[1698503]
88,['CVE-2021-29947'],2021-16,Memory safety bugs fixed in Firefox 88,Mozilla developers and community,high,Mozilla developers and community members Ryan VanderMeulen Sean Feng Tyson Smith Julian Seward Christian Holler reported memory safety bugs present in Firefox 87. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code.,"[1651449, 1674142, 1693476, 1696886, 1700091]"
88,['CVE-2021-23995'],2021-16,Use-after-free in Responsive Design Mode,Irvan Kurniawan,high,When Responsive Design Mode was enabled it used references to objects that were previously freed. We presume that with enough effort this could have been exploited to run arbitrary code.,[1699835]
87,['CVE-2021-23985'],2021-10,Devtools remote debugging feature could have been enabled without indication to the user,Anonymous working with Trend Micro's Zero Day Initiative,low,If an attacker is able to alter specific about:config values (for example malware running on the user's computer) the Devtools remote debugging feature could have been enabled in a way that was unnoticable to the user. This would have allowed a remote attacker (able to make a direct network connection to the victim) to monitor the user's browsing activity and (plaintext) network traffic. This was addressed by providing a visual cue when Devtools has an open network socket.,[1659129]
87,['CVE-2021-23987'],2021-10,Memory safety bugs fixed in Firefox 87 and Firefox ESR 78.9,Mozilla developers and community,high,Mozilla developers and community members Matthew Gregan Tyson Smith Julien Wajsberg and Alexis Beingessner reported memory safety bugs present in Firefox 86 and Firefox ESR 78.8. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code.,"[1513519, 1683439, 1690169, 1690718]"
87,['CVE-2021-23986'],2021-10,A malicious extension could have performed credential-less same origin policy violations,Armin Razmjou,low,A malicious extension with the 'search' permission could have installed a new search engine whose favicon referenced a cross-origin URL.  The response to this cross-origin request could have been read by the extension allowing a same-origin policy bypass by the extension which should not have cross-origin permissions.  This cross-origin request was made without cookies so the sensitive information disclosed by the violation was limited to local-network resources or resources that perform IP-based authentication.,[1692623]
87,['CVE-2021-23988'],2021-10,Memory safety bugs fixed in Firefox 87,Mozilla developers and community,moderate,Mozilla developers Tyson Smith and Christian Holler reported memory safety bugs present in Firefox 86. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code.,"[1684994, 1686653]"
87,['CVE-2021-23984'],2021-10,Malicious extensions could have spoofed popup information,Rob Wu,moderate,A malicious extension could have opened a popup window lacking an address bar. The title of the popup lacking an address bar should not be fully controllable but in this situation was. This could have been used to spoof a website and attempt to trick the user into providing credentials.,[1693664]
87,['CVE-2021-23982'],2021-10,Internal network hosts could have been probed by a malicious webpage,"Samy Kamkar, Ben Seri, and Gregory Vishnepolsky",moderate,Using techniques that built on the slipstream research a malicious webpage could have scanned both an internal network's hosts as well as services running on the user's local machine utilizing WebRTC connections.,[1677046]
87,['CVE-2021-23981'],2021-10,Texture upload into an unbound backing buffer resulted in an out-of-bound read,Abraruddin Khan and Omair,high,A texture upload of a Pixel Buffer Object could have confused the WebGL code to skip binding the buffer used to unpack it resulting in memory corruption and a potentially exploitable information leak or crash.,[1692832]
87,['CVE-2021-23983'],2021-10,Transitions for invalid ::marker properties resulted in memory corruption,Irvan Kurniawan,moderate,By causing a transition on a parent node by removing a CSS rule an invalid property for a marker could have been applied resulting in memory corruption and a potentially exploitable crash.,[1692684]
