seamonkey_version,cve_id,advisory,title,reporter,impact,description,bug_id
02.9,['CVE-2012-0472'],2012-25,Potential memory corruption during font rendering using cairo-dwrite,"wushi, iDefense",Critical,Security research firm iDefense reported that researcher wushi of team509 discovered a memory corruption on Windows Vista and Windows 7 systems with hardware acceleration disabled or using incompatible video drivers. This is created by using cairo-dwrite to attempt to render fonts on an unsupported code path. This corruption causes a potentially exploitable crash on affected systems.,[744480]
02.9,['CVE-2012-0473'],2012-26,WebGL.drawElements may read illegal video memory due to FindMaxUshortElement error,Matias Juntunen,High,Mozilla community member Matias Juntunen discovered an error in WebGLBuffer where FindMaxElementInSubArray receives wrong template arguments from FindMaxUshortElement. This bug causes maximum index to be computed incorrectly within WebGL.drawElements allowing the reading of illegal video memory.,[743475]
02.9,['CVE-2012-0467'],2012-20,Miscellaneous memory safety hazards (rv:12.0/ rv:10.0.4),,Critical,Mozilla developers identified and fixed several memory safety bugs in the browser engine used in Firefox and other Mozilla-based products. Some of these bugs showed evidence of memory corruption under certain circumstances and we presume that with enough effort at least some of these could be exploited to run arbitrary code. Bob Clary Christian Holler Brian Hackett Bobby Holley Gary Kwong Hilary Hall Honza Bambas Jesse Ruderman Julian Seward and Olli Pettay reported memory safety problems and crashes that affect Firefox ESR and Firefox 11.,"[706381, 733282, 737129, 737875, 714614, 732941, 732951, 733979, 737384, 737875, 680456, 735073, 736609, 740595, 737182, 716556, 708825, 720305, 735943, 736589, 723453, 726332, 726502]"
02.9,['CVE-2012-0468'],2012-20,Miscellaneous memory safety hazards (rv:12.0/ rv:10.0.4),,Critical,Mozilla developers identified and fixed several memory safety bugs in the browser engine used in Firefox and other Mozilla-based products. Some of these bugs showed evidence of memory corruption under certain circumstances and we presume that with enough effort at least some of these could be exploited to run arbitrary code. Christian Holler a reported memory safety and security problem affecting Firefox 11.,[714616]
02.9,['CVE-2012-0469'],2012-22,use-after-free in IDBKeyRange,Aki Helin,Critical,Using the Address Sanitizer tool security researcher Aki Helin from OUSPG found that IDBKeyRange of indexedDB remains in the XPConnect hashtable instead of being unlinked before being destroyed. When it is destroyed this causes a use-after-free which is potentially exploitable.,[738985]
02.9,['CVE-2012-0470'],2012-23,Invalid frees causes heap corruption in gfxImageSurface,Atte Kettunen,Critical,Using the Address Sanitizer tool security researcher Atte Kettunen from OUSPG found a heap corruption in gfxImageSurface which allows for invalid frees and possible remote code execution. This happens due to float error resulting from graphics values being passed through different number systems.,[734288]
02.9,['CVE-2012-0471'],2012-24,Potential XSS via multibyte content processing errors,Anne van Kesteren,High,Anne van Kesteren of Opera Software found a  multi-octet encoding issue where certain octets will destroy the following octets in the processing of some multibyte character sets. This can leave users vulnerable to cross-site scripting (XSS) attacks on maliciously crafted web pages.,[715319]
02.9,['CVE-2012-0474'],2012-27,Page load short-circuit can lead to XSS,"Jordi Chancel, Eddy Bordi, Chris McGowen",High,Security researchers Jordi Chancel and Eddy Bordi reported that they could short-circuit page loads to show the address of a different site than what is loaded in the window in the addressbar. Security researcher Chris McGowen independently reported the same flaw and further demonstrated that this could lead to loading scripts from the attacker's site leaving users vulnerable to cross-site scripting (XSS) attacks.,"[687745, 737307]"
02.9,['CVE-2012-0475'],2012-28,Ambiguous IPv6 in Origin headers may bypass webserver access restrictions,Simone Fabiano,Moderate,Security researcher Simone Fabiano reported that if a cross-site XHR or WebSocket is opened on a web server on a non-standard port for web traffic while using an IPv6 address the browser will send an ambiguous origin headers if the IPv6 address contains at least 2 consecutive 16-bit fields of zeroes. If there is an origin access control list that uses IPv6 literals this issue could be used to bypass these access controls on the server.,[694576]
02.9,['CVE-2012-0477'],2012-29,Potential XSS through ISO-2022-KR/ISO-2022-CN decoding issues,Masato Kinugawa,Moderate,Security researcher Masato Kinugawa found that during the decoding of ISO-2022-KR and ISO-2022-CN character sets characters near 1024 bytes are treated incorrectly either doubling or deleting bytes. On certain pages it might be possible for an attacker to pad the output of the page such that these errors fall in the right place to affect the structure of the page allowing for cross-site script (XSS) injection.,[718573]
02.9,['CVE-2012-0478'],2012-30,Crash with WebGL content using textImage2D,Ms2ger,Critical,Mozilla community member Ms2ger found an image rendering issue with WebGL when texImage2D uses use JSVAL_TO_OBJECT on arbitrary objects. This can lead to a crash on a maliciously crafted web page. While there is no evidence that this is directly exploitable there is a possibility of remote code execution.,[727547]
02.9,['CVE-2011-3062'],2012-31,Off-by-one error in OpenType Sanitizer,Mateusz Jurczyk,Critical,Mateusz Jurczyk of the Google Security Team discovered an off-by-one error in the OpenType Sanitizer using the Address Sanitizer tool. This can lead to an out-of-bounds read and execution of an uninitialized function pointer during parsing and possible remote code execution.,[739925]
02.9,['CVE-2011-1187'],2012-32,HTTP Redirections and remote content can be read by javascript errors,Daniel Divricean,Moderate,Security researcher Daniel Divricean reported that a defect in the error handling of javascript errors can leak the file names and location of javascript files on a server leading to inadvertent information disclosure and a vector for further attacks.,[624621]
02.9,['CVE-2012-0479'],2012-33,Potential site identity spoofing when loading RSS and Atom feeds,Jeroen van der Gun,High,Security researcher Jeroen van der Gun reported that if RSS or Atom XML invalid content is loaded over HTTPS the addressbar updates to display the new location of the loaded resource including SSL indicators while the main window still displays the previously loaded content. This allows for phishing attacks where a malicious page can spoof the identify of another seemingly secure site.,[714631]
02.8,['CVE-2012-0455'],2012-13,XSS with Drag and Drop and Javascript: URL,Soroush Dalili,Moderate,Firefox prevents the dropping of javascript: links onto a frame to prevent malicious sites from tricking users into performing a cross-site scripting (XSS) attacks on themselves. Security researcher Soroush Dalili reported a way to bypass this protection.,[704354]
02.8,['CVE-2012-0451'],2012-15,XSS with multiple Content Security Policy headers,Mike,Moderate,Security Researcher Mike Brooks of Sitewatch reported that if multiple Content Security Policy (CSP) headers are present on a page they have an additive effect page policy. Using carriage return line feed (CRLF) injection a new CSP rule can be introduced which allows for cross-site scripting (XSS) on sites with a separate header injection vulnerability.,[717511]
02.8,"['CVE-2012-0457', 'CVE-2012-0456']",2012-14,SVG issues found with Address Sanitizer,Atte Kettunen,Critical,Security researcher Atte Kettunen from OUSPG found two issues with Firefox's handling of SVG using the Address Sanitizer tool. The first issue critically rated is a use-after-free in SVG animation that could potentially lead to arbitrary code execution. The second issue is rated moderate and is an out of bounds read in SVG Filters. This could potentially incorporate data from the user's memory making it accessible to the page content.,"[720103, 711653]"
02.8,['CVE-2012-0460'],2012-18,window.fullScreen writeable by untrusted content,Matt Brubeck,Moderate,Mozilla developer Matt Brubeck reported that window.fullScreen is writeable by untrusted content now that the DOM fullscreen API is enabled. Because window.fullScreen does not include mozRequestFullscreen's security protections it could be used for UI spoofing. This code change makes window.fullScreen read only by untrusted content forcing the use of the DOM fullscreen API in normal usage.,[727303]
02.8,['CVE-2012-0454'],2012-12,Use-after-free in shlwapi.dll,"Blair Strang, Scott Bell",Critical,Security researchers Blair Strang and Scott Bell of Security Assessment found that when a parent window spawns and closes a child window that uses the file open dialog a crash can be induced in shlwapi.dll on 32-bit Windows 7 systems. This crash may be potentially exploitable.,[684555]
02.8,['CVE-2012-0459'],2012-17,Crash when accessing keyframe cssText after dynamic modification,Daniel Glazman,Critical,Mozilla community member Daniel Glazman of Disruptive Innovations reported a crash when accessing a keyframe's cssText after dynamic modification. This crash may be potentially exploitable.,[723446]
02.8,['CVE-2012-0458'],2012-16,Escalation of privilege with Javascript: URL as home page,Mariusz Mlynski,Critical,"Security researcher Mariusz Mlynski reported that an attacker able to convince a potential victim to set a new home page by dragging a link to the ""home"" button can set that user's home page to a javascript: URL. Once this is done the attacker's page can cause repeated crashes of the browser eventually getting the script URL loaded in the privileged about:sessionrestore context.","[719994, 718203, 723808]"
02.8,['CVE-2012-0461'],2012-19,Miscellaneous memory safety hazards (rv:11.0/ rv:10.0.3 / rv:1.9.2.28),Mozilla developers and community,Critical,Mozilla developers identified and fixed several memory safety bugs in the browser engine used in Firefox and other Mozilla-based products. Some of these bugs showed evidence of memory corruption under certain circumstances and we presume that with enough effort at least some of these could be exploited to run arbitrary code. Bob Clary reported two bugs that causes crashes that affected Firefox 3.6 Firefox ESR and Firefox 10.,"[730425, 657588]"
02.8,['CVE-2012-0463'],2012-19,Miscellaneous memory safety hazards (rv:11.0/ rv:10.0.3 / rv:1.9.2.28),Mozilla developers and community,Critical,Mozilla developers identified and fixed several memory safety bugs in the browser engine used in Firefox and other Mozilla-based products. Some of these bugs showed evidence of memory corruption under certain circumstances and we presume that with enough effort at least some of these could be exploited to run arbitrary code. Masayuki Nakano reported a memory safety problem that affected Mobile Firefox 10.,[688208]
02.8,['CVE-2012-0464'],2012-19,Miscellaneous memory safety hazards (rv:11.0/ rv:10.0.3 / rv:1.9.2.28),Mozilla developers and community,Critical,Mozilla developers identified and fixed several memory safety bugs in the browser engine used in Firefox and other Mozilla-based products. Some of these bugs showed evidence of memory corruption under certain circumstances and we presume that with enough effort at least some of these could be exploited to run arbitrary code. Jeff Walden reported a memory safety problem in the array.join function. This bug was independently reported by Vincenzo Iozzo and Willem Pinckaers via TippingPoint's Zero Day Initiative Pwn2Own contest.,"[720079, 735104]"
02.8,['CVE-2012-0462'],2012-19,Miscellaneous memory safety hazards (rv:11.0/ rv:10.0.3 / rv:1.9.2.28),Mozilla developers and community,Critical,Mozilla developers identified and fixed several memory safety bugs in the browser engine used in Firefox and other Mozilla-based products. Some of these bugs showed evidence of memory corruption under certain circumstances and we presume that with enough effort at least some of these could be exploited to run arbitrary code. Christian Holler Jesse Ruderman Nils Michael Bebenita Dindog and David Anderson reported memory safety problems and crashes that affect Firefox ESR and Firefox 10.,"[699033, 714590, 718202, 718516, 701269, 712572, 727330, 720380, 705855]"
02.7.2,['CVE-2011-3026'],2012-11,libpng integer overflow,,Critical,An integer overflow in the libpng library can lead to a heap-buffer overflow when decompressing certain PNG images. This leads to a crash which may be potentially exploitable.,[727401]
02.7.1,['CVE-2012-0452'],2012-10,use after free in nsXBLDocumentInfo::ReadPrototypeBindings,"Andrew McCreight, Olli Pettay",Critical,Mozilla developers Andrew McCreight and Olli Pettay found that ReadPrototypeBindings will leave a XBL binding in a hash table even when the function fails. If this occurs when the cycle collector reads this hash table and attempts to do a virtual method on this binding a crash will occur. This crash may be potentially exploitable.,[724284]
02.7,['CVE-2012-0442'],2012-01,Miscellaneous memory safety hazards (rv:10.0/ 1.9.2.26),Mozilla developers and community,Critical,Mozilla developers identified and fixed several memory safety bugs in the browser engine used in Firefox and other Mozilla-based products. Some of these bugs showed evidence of memory corruption under certain circumstances and we presume that with enough effort at least some of these could be exploited to run arbitrary code. Jesse Ruderman and Bob Clary reported memory safety problems that were fixed in both Firefox 10 and Firefox 3.6.26.,"[693399, 705347]"
02.7,['CVE-2012-0447'],2012-06,Uninitialized memory appended when encoding icon images may cause information disclosure,Tim Abraldes,High,Mozilla developer Tim Abraldes reported that when encoding images as image/vnd.microsoft.icon the resulting data was always a fixed size with uninitialized memory appended as padding beyond the size of the actual image. This is the result of mImageBufferSize in the encoder being initialized with a value different than the size of the source image. There is the possibility of sensitive data from uninitialized memory being appended to a PNG image when converted fron an ICO format image. This sensitive data may then be disclosed in the resulting image.,[710079]
02.7,['CVE-2012-0445'],2012-03,<iframe> element exposed across domains via name attribute,Vitaly Nevgen,High,Vitaly Nevgen reported that an attacker could replace a sub-frame in another domain's document by using the name attribute of the sub-frame as a form submission target. This can potentially allow for phishing attacks against users and violates the HTML5 frame navigation policy.,[701071]
02.7,['CVE-2011-3659'],2012-04,Child nodes from nsDOMAttribute still accessible after removal of nodes,regenrecht,Critical,Security researcher regenrecht reported via TippingPoint's Zero Day Initiative that removed child nodes of nsDOMAttribute can be accessed under certain circumstances because of a premature notification of AttributeChildRemoved. This use-after-free of the child nodes could possibly allow for remote code execution.,[708198]
