thunderbird_version,cve_id,advisory,title,reporter,impact,description,bug_id
91.13,['CVE-2022-38472'],2022-37,Address bar spoofing via XSLT error handling,Armin Ebert,high,An attacker could have abused XSLT error handling to associate attacker-controlled content with another origin which was displayed in the address bar. This could have been used to fool the user into submitting data intended for the spoofed origin.,[1769155]
91.13,['CVE-2022-38478'],2022-37,Memory safety bugs fixed in Thunderbird 102.2 and Thunderbird 91.13,Mozilla developers and community,high,Members the Mozilla Fuzzing Team reported memory safety bugs present in Thunderbird 102.1 and Thunderbird 91.12. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code.,"[1770630, 1776658]"
91.13,['CVE-2022-38473'],2022-37,Cross-origin XSLT Documents would have inherited the parent's permissions,Armin Ebert,high,A cross-origin iframe referencing an XSLT document would inherit the parent domain's permissions (such as microphone or camera access).,[1771685]
91.12,['CVE-2022-36319'],2022-31,Mouse Position spoofing with CSS transforms,Irvan Kurniawan,moderate,When combining CSS properties for overflow and transform the mouse cursor could interact with different coordinates than displayed.,[1737722]
91.12,['CVE-2022-36318'],2022-31,Directory indexes for bundled resources reflected URL parameters,Gijs Kruitbosch,moderate,When visiting directory listings for chrome:// URLs as source text some parameters were reflected.,[1771774]
91.11,['CVE-2022-34478'],2022-26,Microsoft protocols can be attacked if a user accepts a prompt,Gijs,moderate,The ms-msdt search and search-ms protocols deliver content to Microsoft applications bypassing the browser when a user accepts a prompt. These applications have had known vulnerabilities exploited in the wild (although we know of none exploited through Thunderbird) so in this release Thunderbird has blocked these protocols from prompting the user to open them.This bug only affects Thunderbird on Windows. Other operating systems are unaffected.,[1773717]
91.11,['CVE-2022-31744'],2022-26,CSP bypass enabling stylesheet injection,Gertjan,moderate,An attacker could have injected CSS into stylesheets accessible via internal URIs such as resource: and in doing so bypass a page's Content Security Policy.,[1757604]
91.11,['CVE-2022-34481'],2022-26,Potential integer overflow in ReplaceElementsAt,Ronald Crane,moderate,In the nsTArray_Impl::ReplaceElementsAt() function an integer overflow could have occurred when the number of elements to replace was too large for the container.,[1497246]
91.11,['CVE-2022-2200'],2022-26,Undesired attributes could be set as part of prototype pollution,Manfred Paul via Trend Micro's Zero Day Initiative,moderate,If an object prototype was corrupted by an attacker they would have been able to set undesired attributes on a JavaScript object leading to privileged code execution.,[1771381]
91.11,['CVE-2022-34468'],2022-26,CSP sandbox header without `allow-scripts` can be bypassed via retargeted javascript URI,Armin Ebert,high,An iframe that was not permitted to run scripts could do so if the user clicked on a javascript: link.,[1768537]
91.11,['CVE-2022-34470'],2022-26,Use-after-free in nsSHistory,Armin Ebert,high,Navigations between XML documents may have led to a use-after-free and potentially exploitable crash.,[1765951]
91.11,['CVE-2022-34479'],2022-26,A popup window could be resized in a way to overlay the address bar with web content,Irvan Kurniawan,high,A malicious website that could create a popup could have resized the popup to overlay the address bar with its own content resulting in potential user confusion or spoofing attacks.  This bug only affects Thunderbird for Linux. Other operating systems are unaffected.,[1745595]
